,SOC,SOH,Power,T,SEI_after,SEI_delta
6895,46,1.4444,0.57895,23,1.4444004992657199e-08,49.926572
6896,46,1.4444,0.68421,23,1.44440051078473e-08,51.078472999999995
6897,46,1.4444,0.78947,23,1.4444005225857299e-08,52.258573
6898,46,1.4444,0.89474,23,1.4444005347008401e-08,53.470084
6899,46,1.4444,1.0,23,1.44440054714364e-08,54.714364
6910,46,1.5556,0.052632000000000005,23,1.55560044627952e-08,44.62795199
6911,46,1.5556,0.15789,23,1.5556004562055798e-08,45.62055801
6912,46,1.5556,0.26316,23,1.55560046637613e-08,46.637613
6913,46,1.5556,0.36841999999999997,23,1.55560047692545e-08,47.69254499
6914,46,1.5556,0.47368000000000005,23,1.55560048776001e-08,48.77600101
6915,46,1.5556,0.57895,23,1.55560049882584e-08,49.88258401
6916,46,1.5556,0.68421,23,1.5556005102483e-08,51.02483001
6917,46,1.5556,0.78947,23,1.55560052201453e-08,52.20145301
6918,46,1.5556,0.89474,23,1.5556005339589702e-08,53.39589698
6919,46,1.5556,1.0,23,1.55560054626464e-08,54.626464
6930,46,1.6667,0.052632000000000005,23,1.66670044615051e-08,44.61505102
6931,46,1.6667,0.15789,23,1.6667004561010102e-08,45.61010099
6932,46,1.6667,0.26316,23,1.66670046616056e-08,46.61605601
6933,46,1.6667,0.36841999999999997,23,1.66670047666551e-08,47.666551
6934,46,1.6667,0.47368000000000005,23,1.6667004873287002e-08,48.73286999
6935,46,1.6667,0.57895,23,1.6667004983859e-08,49.83859001
6936,46,1.6667,0.68421,23,1.66670050971833e-08,50.97183301
6937,46,1.6667,0.78947,23,1.6667005212483298e-08,52.12483302
6938,46,1.6667,0.89474,23,1.6667005331951998e-08,53.31952002
6939,46,1.6667,1.0,23,1.6667005454294403e-08,54.54294399999999
6950,46,1.7778,0.052632000000000005,23,1.7778004460070402e-08,44.600704
6951,46,1.7778,0.15789,23,1.7778004558317e-08,45.58317001
6952,46,1.7778,0.26316,23,1.77780046590359e-08,46.59035902
6953,46,1.7778,0.36841999999999997,23,1.77780047636877e-08,47.63687702
6954,46,1.7778,0.47368000000000005,23,1.7778004869925498e-08,48.69925503
6955,46,1.7778,0.57895,23,1.77780049790398e-08,49.79039801
6956,46,1.7778,0.68421,23,1.77780050913943e-08,50.91394301
6957,46,1.7778,0.78947,23,1.77780052065575e-08,52.06557502
6958,46,1.7778,0.89474,23,1.77780053249857e-08,53.24985702
6959,46,1.7778,1.0,23,1.77780054457208e-08,54.45720802
6970,46,1.8889,0.052632000000000005,23,1.8889004458400403e-08,44.58400399
6971,46,1.8889,0.15789,23,1.88890045556172e-08,45.55617199
6972,46,1.8889,0.26316,23,1.88890046570783e-08,46.57078299
